ticker,start,end,others
NVDA,01.09.2023,10.11.2023,AMD;TSM;INTC;AVGO;QQQ
NVDA,02.01.2018,14.03.2018,AMD;TSM;INTC;AVGO;QQQ
NVDA,02.07.2018,11.09.2018,AMD;TSM;INTC;AVGO;QQQ
NVDA,02.09.2022,11.11.2022,AMD;TSM;INTC;AVGO;QQQ
NVDA,03.02.2020,14.04.2020,AMD;TSM;INTC;AVGO;QQQ
NVDA,03.03.2025,12.05.2025,AMD;TSM;INTC;AVGO;QQQ
NVDA,03.09.2021,12.11.2021,AMD;TSM;INTC;AVGO;QQQ
NVDA,04.03.2024,13.05.2024,AMD;TSM;INTC;AVGO;QQQ
NVDA,04.09.2020,13.11.2020,AMD;TSM;INTC;AVGO;QQQ
NVDA,05.02.2019,16.04.2019,AMD;TSM;INTC;AVGO;QQQ
NVDA,05.08.2019,14.10.2019,AMD;TSM;INTC;AVGO;QQQ
NVDA,06.03.2023,15.05.2023,AMD;TSM;INTC;AVGO;QQQ
NVDA,06.10.2025,15.12.2025,AMD;TSM;INTC;AVGO;QQQ
NVDA,07.02.2018,19.04.2018,AMD;TSM;INTC;AVGO;QQQ
NVDA,07.03.2022,16.05.2022,AMD;TSM;INTC;AVGO;QQQ
NVDA,07.04.2025,17.06.2025,AMD;TSM;INTC;AVGO;QQQ
NVDA,07.08.2018,16.10.2018,AMD;TSM;INTC;AVGO;QQQ
NVDA,07.10.2024,16.12.2024,AMD;TSM;INTC;AVGO;QQQ
NVDA,08.03.2021,17.05.2021,AMD;TSM;INTC;AVGO;QQQ
NVDA,09.04.2024,18.06.2024,AMD;TSM;INTC;AVGO;QQQ
NVDA,09.10.2023,18.12.2023,AMD;TSM;INTC;AVGO;QQQ
NVDA,10.03.2020,19.05.2020,AMD;TSM;INTC;AVGO;QQQ
NVDA,10.09.2019,18.11.2019,AMD;TSM;INTC;AVGO;QQQ
NVDA,10.10.2022,19.12.2022,AMD;TSM;INTC;AVGO;QQQ
NVDA,10.11.2025,22.01.2026,AMD;TSM;INTC;AVGO;QQQ
NVDA,11.04.2022,22.06.2022,AMD;TSM;INTC;AVGO;QQQ
NVDA,11.04.2023,21.06.2023,AMD;TSM;INTC;AVGO;QQQ
NVDA,11.10.2021,20.12.2021,AMD;TSM;INTC;AVGO;QQQ
NVDA,11.11.2024,23.01.2025,AMD;TSM;INTC;AVGO;QQQ
NVDA,12.09.2018,20.11.2018,AMD;TSM;INTC;AVGO;QQQ
NVDA,12.10.2020,21.12.2020,AMD;TSM;INTC;AVGO;QQQ
NVDA,13.03.2019,22.05.2019,AMD;TSM;INTC;AVGO;QQQ
NVDA,13.04.2021,23.06.2021,AMD;TSM;INTC;AVGO;QQQ
NVDA,13.05.2025,24.07.2025,AMD;TSM;INTC;AVGO;QQQ
NVDA,13.11.2023,25.01.2024,AMD;TSM;INTC;AVGO;QQQ
NVDA,14.05.2024,25.07.2024,AMD;TSM;INTC;AVGO;QQQ
NVDA,14.11.2022,26.01.2023,AMD;TSM;INTC;AVGO;QQQ
NVDA,15.03.2018,24.05.2018,AMD;TSM;INTC;AVGO;QQQ
NVDA,15.04.2020,24.06.2020,AMD;TSM;INTC;AVGO;QQQ
NVDA,15.10.2019,24.12.2019,AMD;TSM;INTC;AVGO;QQQ
NVDA,15.11.2021,27.01.2022,AMD;TSM;INTC;AVGO;QQQ
NVDA,16.05.2023,27.07.2023,AMD;TSM;INTC;AVGO;QQQ
NVDA,16.11.2020,28.01.2021,AMD;TSM;INTC;AVGO;QQQ
NVDA,17.04.2019,27.06.2019,AMD;TSM;INTC;AVGO;QQQ
NVDA,17.05.2022,28.07.2022,AMD;TSM;INTC;AVGO;QQQ
NVDA,17.10.2018,27.12.2018,AMD;TSM;INTC;AVGO;QQQ
NVDA,17.12.2024,28.02.2025,AMD;TSM;INTC;AVGO;QQQ
NVDA,18.05.2021,29.07.2021,AMD;TSM;INTC;AVGO;QQQ
NVDA,18.06.2025,28.08.2025,AMD;TSM;INTC;AVGO;QQQ
NVDA,19.11.2019,31.01.2020,AMD;TSM;INTC;AVGO;QQQ
NVDA,19.12.2023,01.03.2024,AMD;TSM;INTC;AVGO;QQQ
NVDA,20.04.2018,29.06.2018,AMD;TSM;INTC;AVGO;QQQ
NVDA,20.05.2020,30.07.2020,AMD;TSM;INTC;AVGO;QQQ
NVDA,20.06.2024,29.08.2024,AMD;TSM;INTC;AVGO;QQQ
NVDA,20.12.2022,03.03.2023,AMD;TSM;INTC;AVGO;QQQ
NVDA,21.11.2018,04.02.2019,AMD;TSM;INTC;AVGO;QQQ
